REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-01,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,6.69,,,,2
2020-02,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,6.50,,,,2
2020-03,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,6.80,,,,2
2020-04,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.28,,,,2
2020-05,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.91,,,,2
2020-06,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.14,,,,2
2020-07,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.51,,,,2
2020-08,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.37,,,,2
2020-09,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.32,,,,2
2020-10,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.08,,,,2
2020-11,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,8.00,,,,2
2020-12,Newfoundland and Labrador,2016A000210,"Grapes, per kilogram",Dollars,81,units,0,v1159447001,1.27,7.22,,,,2
2017-01,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.36,,,,2
2017-02,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.02,,,,2
2017-03,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.01,,,,2
2017-04,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.31,,,,2
2017-05,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.18,,,,2
2017-06,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.63,,,,2
2017-07,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.58,,,,2
2017-08,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,2.90,,,,2
2017-09,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,2.99,,,,2
2017-10,Newfoundland and Labrador,2016A000210,"Cantaloupe, unit",Dollars,81,units,0,v1159447002,1.28,3.39,,,,2
